Paimon: "Oh, there you are! But you can't even reach the counter!"
Traveller: Is she... a zombie!?
Paimon: Ah... Paimon: thinks you might be right! Look at the talisman on her forehead!
Traveller: "Paimon:  if we're going to talk about height, you ahh..."
Paimon: "Joke's on you — Paimon: floats, so height is no restriction."
Paimon: "Anyway, there's something weird about this one over here. What's that talisman doing on her forehead?"
Paimon: It can't be... she's... a zombie!?
Qiqi:,Welcome to Bubu Pharmacy. I am Qiqi:.
Qiqi:,"Once upon a time, Qiqi: died. Then, Qiqi: was saved by theadepti. Now, Qiqi: is a zombie."
Traveller: Such nonchalant delivery for a bombshell revelation...
Traveller: Do zombies also count as adepti...?
Paimon: Something like this would be unimaginable inMondstadt...
Zhongli: Hello... little girl. Do you sell Everlasting Incense here?
Qiqi:,"Excuse me, sir. Did you bring your prescription?"
Zhongli: I... Surely no prescription is needed to purchase Everlasting Incense? It's not a controlled substance...
Qiqi:,"Qiqi: can get your medicine. But only if you show Qiqi: your prescription. These are Qiqi:'s orders, from Qiqi:."
Traveller: "Orders"?
Traveller: Why is she being so difficult?
Zhongli: I'm afraid that she's probably right — it's to do with her orders.
Zhongli: "Zombies are limited to acting within the confines of their orders. And somehow, in this case, the zombie issues her own orders to herself."
Zhongli: "My dear Qiqi:, we didn't bring a prescription, I'm afraid. But we do hope that you can still help us find some Everlasting Incense."
Qiqi:,Okay then.
Paimon: How did you manage that?
Qiqi:,"But, Qiqi: helps you, you help Qiqi:. Only fair."
Paimon: Since when do customers need to do favors for customer service staff?
Zhongli: "Never mind, just think of it as a peer-to-peer transaction. That way everybody wins. Sometimes, in Liyue, the art of the deal is simply about victory via mental gymnastics."
Qiqi:,Go toMt. Tianheng. Find theGuizhong Ballista. And hunt a Cocogoat. Please and thank you.
Traveller: Hunt the what with the which at where?
Zhongli: Guizhong Ballista... I have heard of this device before.
Traveller: She's playing games with us...
Zhongli: "I don't believe so. The Guizhong Ballista, at least, I have heard of before."
Zhongli: "It is a kind of crossbow turret, installed on Mt. Tianheng by an adeptus[Note 1]in the distant past. An early mechanical device."
Zhongli: "Located in Tianheng Pass, it was designed to automatically fire at large monsters, protecting Liyue from external threats."
Paimon: Mr. Zhongli: really knows Liyue inside out!
Zhongli: "Apparently, not quite... This is the first I have ever heard of the ""Cocogoat."""
Qiqi:,The Cocogoat is a legendary animal. An adeptibeast.
Paimon: "Did you wanna add anything else, or..."
Qiqi:,No. Just that the Cocogoat is a legendary animal. An adeptibeast.
Qiqi:,"What it looks like, don't know. Where to find it, don't know either. Where it came from,  also don't know."
Traveller: Do tell us if you remember anything else you don't remember...
Traveller: This isn't much to go on...
Zhongli: Very well then... Let's start by investigating near theGuizhong Ballista. Perhaps we will find some clues.
Paimon: What the heck is a Cocogoat...
Qiqi:,Cocogoat. Go find it.
Paimon: It's huge! Paimon: can totally believe it took an adeptus to build this.
Paimon: But... how do you operate this thing? Just think how much strength you would need...
Zhongli: "Hmm... It is currently inoperable, in any case. This device is broken."
Paimon: "Aw, what? It broke!?"
Zhongli: "After millennia of wear and tear, even adepti contraptions are difficult to maintain."
Paimon: "So what're we gonna do? Quick, Mr. Zhongli:  use your unlimited high-society knowledge powers!"
Zhongli: "Hmm. You almost make it sound like I'm some sort of... bourgeois parasite, whose only utility lies in providing quaint pieces of trivia on demand."
Zhongli: "That said, let me think for a moment... Ah yes. Spare parts were made for the Guizhong Ballista when it was first built, in case it was damaged in battle."
Zhongli: "As I recall, there is a military supply post from that period somewhere inside the Pass."
Zhongli: "If we can retrieve the spare parts from where they are stored, we may be able to repair the Guizhong Ballista. One just needs to understand the basic working principles of the device."
Paimon: So... what you're saying is that you actually understand the working principles?
Zhongli: I have a smattering of knowledge on the topic.
Zhongli: "With thepartsin hand, I could at least tinker with it."
Paimon: "Where is that supply post? Here, posty posty posty..."
Zhongli: These parts look useful.
Zhongli: "One moment, I will try to repair the device..."
Zhongli: It is done. The Guizhong Ballista is more intricately designed than I thought.
Paimon: Woo! Now how do we turn it on?
Zhongli: "It's easy enough. We simply need to do this... Look, it even has a scope."
Paimon: Over here we have... nothing. And over there... More nothing.
Freckle Huang,Hey! Just what do you think you're doing!?
Freckle Huang,"So you fixed up this turret... because you're planning to do what, exactly!?"
Zhongli: "Not a turret. A Guizhong Ballista. Also, kindly state your name before you ask a question, it's just good manners."
Freckle Huang,"Ha! Are you blind or something? You're looking at the leader of the Treasure Hoarders, old man!"
Freckle Huang,"This area's supposed to be chock-full of hidden treasures, but you can't get anywhere near them with this thing keeping watch. It might look like any other mechanical device, but trust me, it's got a mind of its own!"
Freckle Huang,"Last time we approached the mountain, it nearly skewered one of our guys!"
Freckle Huang,"A few of us risked our lives to disarm it — which, amazingly, we managed — and then we turn our backs for two seconds and you've ALREADY GONE AND REPAIRED IT!?"
Freckle Huang,"The next thing you'll be repairing is your faces, and that's if you get out of this alive!"
Zhongli: Tut-tut. Vandalizing the legacy of an adeptus for selfish gain. Disgraceful behavior.
Zhongli: "It is not we who need reprimanding, but you."
Paimon: These lowlifes didn't know who they were messing with!
Zhongli: Troubling ourselves over this rabble is not worth the time. We should focus on our contract with Qiqi:.
Paimon: "Oh yeah... that. So we've got the Guizhong Ballista working, but where's our Cocogoat?"
Zhongli: "A search using the Guizhong Ballista revealed no significant life forms nearby, save for the usual wildlife."
Zhongli: "What's more, a contraption built using adeptus technology should have no trouble detecting an ""adeptibeast"" as Qiqi: put it."
Paimon: Sigh... Which means...
Traveller: ...
Traveller: Repairing this was a complete waste of time?
Paimon: "Paimon: wouldn't go that far. We did something positive, right?"
Zhongli: "We won't solve anything while standing here and racking our brains. Let's return to Bubu Pharmacy, explain that we could not find a Cocogoat, and review our next step."
Paimon: "Good idea. We did our best, and that's what counts."
Zhongli: "Forgive us, we were unable to fulfill our end of the contract. We found no trace of the Cocogoat adeptibeast of which you speak."
Qiqi:,Ah. What a disappointment. Don't worry about it. But I feel very disappointed.
Paimon: "Aw, poor Qiqi:... Why does Paimon: feel so guilty all of a sudden?"
Traveller: "Qiqi:, do you have any other clues?"
Traveller: What do you need this Cocogoat for?
Qiqi:,Cocogoat milk is tasty. So tasty. Much better than normal goat milk. Only an adeptibeast could make such tasty milk.
Qiqi:,I'm sorry. I have a... poor memory. I cannot remember the name of the milk. That's why I wrote it down. Where did I put it...
Qiqi:,Ah. Here. This is the name. "Coconut milk."
Crowd,Ehh!?
Zhongli: ...
Zhongli: "I... owe you both an apology. I hastily agreed to what appeared to be an equitable agreement with this zombie child, when perhaps I should have undertaken further due diligence."
Paimon: "Never mind Zhongli:  you didn't know. As the Liyue proverb goes, ""All things are random, and... so how are you supposed to predict anything?"" Literally no-one could have seen this coming..."
Qiqi:,"Excuse me, everyone. Did Qiqi: say a bad thing?"
Paimon: "Ooh... Sorry, (Traveler), but Paimon:'s gonna leave the job of shattering this poor kiddo's world to you..."
Traveller: It all begins with the fruit of the coconut tree...
Traveller: It's time to tell you where coconut milk comes from...
Qiqi:,No... Im-Impossible...
Paimon: Seems Qiqi: took this pretty hard.
Traveller: She just needs time to work through it.
Traveller: They all need to grow up sometime.
Baizhu:,"Haha, someone learnt a valuable life lesson today, then? Thank you all for looking after my little Qiqi:."
Zhongli: "Might I ask, who..."
Baizhu:,"Ah, how rude of me. I'm Baizhu:, boss of the Bubu Pharmacy."
Paimon: Paimon: thought Qiqi: was the boss... turns out it's some wacko who wears medicinal ingredients around his neck!
White Snake,What a sorry state of affairs... This little mascot is even more of a simpleton than Qiqi:...
Paimon: Ah! The medicine— the snake is s-speaking!
Traveller: "Wow, a talking snake!"
Traveller: Nothing in Liyue surprises me anymore.
White Snake,"Hmph! I prefer to stay silent. But faced with strangers, I must speak, lest you mistake me for an escapee from the medicine cabinet, for I am a living, breathing serpent!"
